Player,NBA_Country,Salary,Age
Marreese Speights,USA,2116955,30
Marquis Teague,USA,83129,24
Marquese Chriss,USA,3073800,20
Markieff Morris,USA,8000000,28
Markelle Fultz,USA,7026240,19
Markel Brown,USA,0,26
Mario Hezonja,Croatia,4078320,22
Mario Chalmers,USA,2106407,31
Marcus Smart,USA,4538020,23
Marcus Paige,USA,0,24
Marcus Morris,USA,5000000,28
Marcus Georges-Hunt,USA,1312611,23
Marco Belinelli,Italy,6306060,31
Marcin Gortat,Poland,12782609,33
Marc Gasol,Spain,22642350,33
Manu Ginobili,Argentina,2500000,40
Mangok Mathiang,Australia,0,25
Malik Monk,USA,2904480,19
Malik Beasley,USA,1700640,21
Malcolm Miller,USA,0,24
Malcolm Delaney,USA,2500000,28
Malcolm Brogdon,USA,1312611,25
Malachi Richardson,USA,1504560,22
Luol Deng,United Kingdo...,17190000,32
Luke Kornet,USA,0,22
Luke Kennard,USA,2759280,21
Luke Babbitt,USA,1974159,28
Luis Montero,Dominican Rep...,50000,24
Lucas Nogueira,Brazil,2947305,25
Luc Mbah a Moute,Cameroon,2116955,31
Lou Williams,USA,7000000,31
Lorenzo Brown,USA,0,27
Lonzo Ball,USA,6286560,20
London Perrantes,USA,0,23
LeBron James,USA,33285709,33
Lauri Markkanen,Finland,3821640,20
Larry Nance,USA,1471382,25
Larry Drew,USA,148318,27
Langston Galloway,USA,6666667,26
Lance Thomas,USA,6655325,29
Lance Stephenson,USA,4180000,27
LaMarcus Aldridge,USA,21461010,32
Kyrie Irving,Australia,18868625,25
Kyle Singler,USA,4666500,29
Kyle O'Quinn,USA,4087500,27
Kyle Lowry,USA,28703704,31
Kyle Kuzma,USA,1423560,22
Kyle Korver,USA,7000000,36
Kyle Collinsworth,USA,92160,26
Kyle Anderson,USA,2151704,24
Kristaps Porzingis,Latvia,4503600,22
Kris Dunn,USA,4046760,23
Kosta Koufos,USA,8393000,28
Kobi Simmons,USA,0,20
Klay Thompson,USA,17826150,27
Khris Middleton,USA,14100000,26
Khem Birch,Canada,815615,25
Kevon Looney,USA,1471382,21
Kevin Love,USA,22642350,29
Kevin Durant,USA,25000000,29
Kentavious Caldwell-Pope,USA,17745894,24
Kent Bazemore,USA,16910113,28
Kenneth Faried,USA,12921348,28
Kemba Walker,USA,12000000,27
Kelly Oubre,USA,2093040,22
Kelly Olynyk,Canada,10607169,26
Kay Felder,USA,1312611,22
Kawhi Leonard,USA,18868625,26
Karl-Anthony Towns,USA,6216840,22
Kadeem Allen,USA,0,25
Jusuf Nurkic,Bosnia & Herz...,2947305,23
Justise Winslow,USA,2705040,21
Justin Patton,USA,2247480,20
Justin Jackson,USA,2365560,22
Justin Holiday,USA,4615385,28
Justin Anderson,USA,1579440,24
Julyan Stone,USA,1524305,29
Julius Randle,USA,4149242,23
Juan Hernangomez,Spain,2076840,22
Jrue Holiday,USA,25686667,27
Josh Smith,USA,5400000,32
Josh Richardson,USA,1471382,24
Josh McRoberts,USA,6021175,30
Josh Magette,USA,0,28
Josh Jackson,USA,5090040,20
Josh Huestis,USA,1471382,26
Josh Hart,USA,1394520,22
Josh Gray,USA,92160,24
Jose Calderon,Spain,2328652,36
Jordan Mickey,USA,1471382,23
Jordan Crawford,USA,250000,29
Jordan Clarkson,USA,11562500,25
Jordan Bell,USA,815615,23
Jonathon Simmons,USA,6300000,28
Jonathan Isaac,USA,4186320,20
Jonas Valanciunas,Lithuania,15460675,25
Jonas Jerebko,Sweden,4000000,30
Jon Leuer,USA,10497319,28
Johnny O'Bryant,USA,1524305,24
Johnathan Motley,USA,0,22
John Wall,USA,18063850,27
John Holland,USA,0,29
John Henson,USA,11422536,27
John Collins,USA,1936920,20
Joffrey Lauvergne,France,1524305,26
Joel Embiid,Cameroon,6100266,23
Joel Bolomboy,Ukraine,1312611,24
Joe Young,USA,1471382,25
Joe Johnson,USA,9505000,36
Joe Ingles,Australia,14136364,30
Joe Harris,USA,1524305,26
Jodie Meeks,USA,3290000,30
Joakim Noah,USA,17765000,32
Jimmy Butler,USA,19301070,28
Jerryd Bayless,USA,9000000,29
Jerian Grant,USA,1713840,25
Jeremy Lin,USA,12000000,29
Jeremy Lamb,USA,7000000,25
Jeremy Evans,USA,104059,30
Jerami Grant,USA,1524305,23
Jeff Withey,USA,1577320,27
Jeff Teague,USA,19000000,29
Jeff Green,USA,2116955,31
Jayson Tatum,USA,5645400,19
Jaylen Morris,USA,92160,22
Jaylen Brown,USA,4956480,21
Jawun Evans,USA,815615,21
JaVale McGee,USA,2116955,30
Jason Terry,USA,2328652,40
Jason Smith,USA,5225000,31
Jarrett Jack,USA,2328652,34
Jarrett Allen,USA,1713720,19
Jarell Martin,USA,1471382,23
Jarell Eddie,USA,83129,26
Jared Dudley,USA,10000000,32
JaMychal Green,USA,8533333,27
Jamil Wilson,USA,50000,27
James Young,USA,0,22
James Webb,USA,0,24
James Michael McAdoo,USA,50000,25
James Johnson,USA,13954000,30
James Harden,USA,28299399,28
James Ennis,USA,3028410,27
Jamel Artis,USA,0,25
Jameer Nelson,USA,4736050,35
Jameel Warney,USA,46080,24
Jamal Murray,Canada,3355320,20
Jamal Crawford,USA,10942762,37
Jalen Jones,USA,0,24
Jakob Poeltl,Austria,2825640,22
Jake Layman,USA,1312611,23
JaKarr Sampson,USA,0,24
Jahlil Okafor,USA,4995120,22
Jae Crowder,USA,6796117,27
Jacob Wiley,USA,0,23
Jacob Pullen,USA,50000,28
Jack Cooley,USA,0,26
Jabari Parker,USA,6782392,22
Jabari Bird,USA,0,23
J.R. Smith,USA,13760000,32
J.J. Redick,USA,23000000,33
J.J. Barea,Puerto Rico,3903900,33
